"category","name","gross_price","amount","discount","net_price","date","address","check_id","sub_cat1","sub_cat2","sub_cat3"
"Cietais siers","Cietais siers GRANAROLO PREMIUM kg",18.99,0.148,,2.81052,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Piena produkti un olas","Siers","Cietais siers"
"Dzeramais ūdens","Dzeramais ūdens ASET gāzēts 1,5L D",0.29,2,,0.58,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Dzērieni","Ūdens","Gāzēts ūdens"
"Galda spēle","Galda spēle MONOPOLY krievu val.",34.64,1,-13.86,20.78,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Mājai un atpūtai","Preces atpūtai","Galda spēles"
"Makaroni","Makaroni MEGA DI CATO CORNETTI 500g",0.99,1,,0.99,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Bakaleja","Makaroni","Īsie makaroni"
"Papildus depozīta maksa","Papildus depozīta maksa",0.1,2,,0.2,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Kosmētika un higiēna","Mutes higiēnas līdzekļi","Zobu birstes"
"Puzle","Puzle TREFL 1000 gab.",7.91,1,-3.16,4.75,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Puzle","Puzle","Puzle"
"Siers","Siers ČEDARAS RED CESVAINES kg",14.79,0.176,,2.60304,2022-09-04 20:54:32,"A.Deglava iela 67, Rīga, t.80002020","Čeks 123/902","Piena produkti un olas","Siers","Cietais siers"
"Citroni kg","Citroni kg EUREKA 2. šķ.",1.99,0.276,,0.54924,2022-09-05 18:51:32,"Ieriķu iela 3, Rīga, t.80002020","Čeks 252/1296","Citroni kg","Citroni kg","Citroni kg"
"Ķilavu filejas garšvielu sālījumā kg","Ķilavu filejas garšvielu sālījumā kg",4.05,0.202,,0.8181,2022-09-05 18:51:32,"Ieriķu iela 3, Rīga, t.80002020","Čeks 252/1296","Gaļa, zivs un gatavā kulinārija","Zivju produkti","Sālītas, marinētas zivis un jūras veltes"
"Rudzu rupjm.","Rudzu rupjm. LIELEZERS sagr. 400g",1.7,1,,1.7,2022-09-05 18:51:32,"Ieriķu iela 3, Rīga, t.80002020","Čeks 252/1296","Maize un konditorejas izstrādājumi","Maize","Tumšā maize"
